,Lake_Askoti,Barnes_Lake,Breakneck_Pond,Island_Pond,Lake_Kanawauke_L,Lake_Kanawauke_U,Little_Long_Pond,Lily_Pond,Lake_Massawippa,Lake_Nawahunta,Pine_Meadow,Pine_Swamp,Harriman_Pond,Queensboro_Lake,Lake_Sebago,Silver_Mine_Lake,Lake_Skannatati,Lake_Skenonto,Spring_Pond,Lake_Stahahe,Lake_Te-Ata,Lake_Tiorati,Turkey_Hill_Lake,Lake_Wanoksink,Welch,Lake_Wanoksink_overflow
Brasenia_schreberi,,,1,,,,1,,1,1,,,1,,1,1,1,,1,1,,1,,,1,
Cabomba_caroliniana,,,,,1,,1,,,1,,,,1,,,1,,1,1,,1,,,,
Callitriche_sp.,,,,,,,,,,,,,,,,,,,1,,,,,,,
Ceratophyllum_demersum,,1,,,,,,,1,,,,,1,,,,,,,,,,,,
Decodon_verticillatus,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Dulichium_arundinaceum,,,1,,,,,,,,,,,,,,,,,,,,,,,
Elatine_minima,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Eleocharis_sp.,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Eleocharis_quadrangulata,,,,,,,,1,,,,,,,,,,,,,,,,,,
Elodea_canadensis,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,
Eriocaulon_sp.,,,,,,1,,,,,,,,,,,,,,,,,,,,
Lythrum_salicaria,,,,,,,,,,,,,,,,,,,,,,,,,1,
Myriophyllum_heterophyllum,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Myriophyllum_pinnatum,,,,,,,,,,,,,,,,,1,,1,,,1,,,,
Myriophyllum_sp.,1,1,,1,1,1,1,,,,1,,1,,1,1,1,,,1,1,,,1,,
Najas_flexilis,,,,,,,,,,1,,,,,,1,,,,,,,,,,
Nuphar_advena,,,,,,,,,,,,,,1,,,,,,,,,,,,
Nuphar_variegata,,,,,,,1,1,,,1,,1,,,,,,1,,,,,,,
Nymphaea_odorata,,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,,,,,1,1
Nymphoides_cordata,,,,1,,,,,,,,,,,,,,,,,1,,,,,
Peltandra_virginica,,,,1,,,,,,,,,,,,,,,,1,,,,,,
Phragmites_sp.,,,,,,,,,,,,,,,,,,,,,,,,,,1
Pontederia_cordata,,1,,1,,1,,,1,,,,1,1,1,,,,,,1,1,,,1,
Potamogeton_bicupulatis,,,,,,,,,,,,,,,,,,,1,,,,,,,
Potamogeton_epihydrus,,,1,,,,,,1,,,,1,,,,,,,,,1,,,,1
Potamogeton_natans,,,,,,,,,,,,,,,,,,,,,,1,,,,
Potamogeton_perfoliatus,,,,,,,,,,,,,,,,,,,,,,1,,,,
Potamogeton_pusillus,,,,,,,,,,,,,,,,,,,,1,,,,,,
Potamogeton_robbinsii,,1,,,,,,,1,,,,,,,,,,,,,,,,,
Potamogeton_spirillus,,,,,,,,,,,,,,,,,,,,,,,1,,,
Proserpinaca_pectinata,,,,,,,,,,,1,,,,,,,,,,,,,,,
Sagittaria_sp.,,1,,,,,,,,,,,,,,,,,,,,,,,,
Sagittaria_latifolia,,,,,,,,,,,,,,,,,,,,,,,,,1,
Sparganium_americanum,,,1,,,,,,,,,,,1,,1,1,1,,1,,,,,,1
Sphagnum_sp.,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trapa_natans,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Typha_latifolia,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,
Utricularia_sp.,,,1,1,,,1,,,1,1,1,1,,,,1,1,,1,,,,,,
Utricularia_gibba,,,,,,,,1,,,,,,,,,,,,,,,,,,
Utricularia_purpurea,,,,,,,,1,,,,,,,,,1,,,,,,,,,
Vallisneria_americana,,,,,,,,,,1,,,,,,1,,,,,,1,,,,
Nitella_aff._tenuissima,,,,,,,,,,,,,,,,1,,,1,,,,,,,
Nitella_furcata,,,,,,,,,,,,,,,,,,,1,,,,,,,
Ankistrodesmus_falcatus,,,,,,,,,,1,,,,,,,,,,,,,,,,
Asterococcus_superbus,,,1,,,1,,,,,,,,,,,,,,,,,,,,
Bulbochaete_sp.,,,1,,,1,,,1,,,,,,,,1,,,,1,1,,,,1
Coelastrum_cambricum,1,,1,,1,,,1,,,,,1,,,,,,,,,,,,,
Coelastrum_microporum,,,,,,,,,,,,,,,,,,,1,,,,,,,
Desmodesmus_sp.,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Dimorphococcus_lunatus,,,,,,,,,,,,,1,,,,,,,,,,,,,
Gloeocystopsis_limneticus,,,,,,,1,1,,,,,,1,,,,,,,,,,,,
Hydrodictyon_reticulatum,,,,,,,,,1,,,,,,,,,,,,,,,,,
Kirchneriella_obesa,,,,,,,,,,,,,1,,,,,,,,,,,,,
Nephrocytium_obesum,,,,,,,,1,,,,,,,,,,,,,,,,,,
Oedogonium_sp.,,,1,,,1,1,,1,,1,,,,,,1,,,,1,1,,,,
Pediastrum_boryanum,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,
Pediastrum_duplex,,,,,1,,,1,,,,,1,,,,1,1,1,,,,,,,
Quadrigula_lacustris,,,,,,,,,,,,,,1,,,,,,,,,,,,
Scenedesmus_arcuatus_var._platydiscus,,,,,,,,,,,,,,1,,,,,,,,,,,,
Selenastrum_bibraianum,,,,,1,,,,,,,,,,,,,,,,,,,,,
Sorastrum_spinulosum,,,,,1,1,,,,,,,,,,,,,,,,,,,,
